Block,Area_m2,MeanDepth_m,Volume_m3
Block-326,1900.0,8.18,15674.3
Block-327,900.0,1.83,1642.6
Block-328,523500.0,-2.01,538811.8
Block-329,5100.0,3.75,19911.6
Block-330,1200.0,1.78,2143.0
Block-331,1500.0,2.95,4512.3
Block-332,900.0,1.94,1737.9
Block-333,900.0,3.32,2989.3
Block-334,1200.0,1.05,1244.1
Block-335,4900.0,4.05,17995.5
Block-336,1500.0,1.44,2176.0
Block-337,2500.0,2.04,4927.7
Block-338,2400.0,3.32,8609.8
Block-339,1200.0,1.28,1568.2
Block-340,1800.0,1.02,1854.8
Block-341,15500.0,4.16,60846.0
Block-342,900.0,2.11,1891.3
Block-343,1200.0,1.74,2042.2
Block-344,900.0,1.57,1444.0
Block-345,1500.0,1.64,2349.9
Block-346,24400.0,2.51,65813.4
Block-347,3900.0,2.4,8874.2
Block-348,2000.0,2.4,5565.6
Block-349,2100.0,1.25,2672.1
Block-350,6000.0,1.2,8295.9
Block-351,6600.0,2.01,14074.9
Block-352,1600.0,0.39,705.6
Block-353,900.0,2.49,2241.1
Block-354,900.0,2.4,2189.2
Block-355,1200.0,1.24,1559.1
Block-356,900.0,0.65,618.9
Block-357,3400.0,0.77,2330.3
Block-358,1800.0,4.04,7264.7
Block-359,10100.0,2.61,30384.9
Block-360,2300.0,1.48,3280.3
Block-361,3000.0,2.76,8430.5
Block-362,2000.0,2.21,4470.4
Block-363,900.0,2.38,2153.5
Block-364,3800.0,1.97,7795.7
Block-365,2500.0,2.66,6531.5
Block-366,27000.0,2.28,61440.2
Block-367,4700.0,4.54,21378.4
Block-368,900.0,2.0,1802.4
Block-369,3300.0,1.99,6655.8
Block-370,14700.0,2.68,36148.0
Block-371,900.0,1.26,1003.0
Block-372,1200.0,1.91,2198.3
Block-373,900.0,1.73,1612.6
Block-374,900.0,0.72,678.5
Block-375,12800.0,2.21,29907.1
Block-376,900.0,2.17,1974.8
Block-377,1200.0,1.11,1390.8
Block-378,38600.0,0.42,47540.8
Block-379,5800.0,3.36,18754.9
Block-380,2500.0,1.73,4697.6
Block-381,1009500.0,12.11,11705785.9
Block-382,1500.0,1.0,1662.1
Block-383,2000.0,1.52,3064.9
Block-384,6300.0,2.4,15981.6
Block-385,1200.0,2.26,2747.1
Block-386,2100.0,3.67,7397.6
Block-387,5600.0,4.01,21813.2
Block-388,900.0,1.86,1684.2
Block-389,1200.0,2.61,3061.0
Block-390,32400.0,2.01,68129.2
Block-391,8300.0,1.7,14616.3
Block-392,900.0,0.07,148.5
Block-393,900.0,1.55,1410.9
Block-394,900.0,0.27,247.4
Block-395,900.0,1.74,1581.6
Block-396,900.0,1.26,1211.5
Block-397,1900.0,2.14,3920.9
Block-398,7100.0,2.77,20269.3
Block-399,900.0,1.98,1851.9
Block-400,3000.0,3.02,9273.9
Block-401,900.0,1.16,1049.6
Block-402,1200.0,1.91,2319.7
Block-403,1500.0,2.24,3317.7
Block-404,900.0,0.83,775.3
Block-405,11500.0,2.74,32079.8
Block-406,900.0,2.31,2155.1
Block-407,2200.0,0.19,503.6
Block-408,900.0,1.81,1589.4
Block-409,2300.0,1.79,4278.4
Block-410,900.0,1.13,1051.1
Block-411,9000.0,3.13,27533.1
Block-412,1200.0,0.68,786.7
Block-413,12800.0,4.15,42474.0
Block-414,1500.0,1.64,2549.7
Block-415,1200.0,2.19,2618.6
Block-416,2900.0,3.02,8659.9
Block-417,2000.0,1.49,3044.8
Block-418,900.0,2.68,2382.0
Block-419,3400.0,3.04,10537.5
Block-420,2000.0,2.97,5868.8
Block-421,1800.0,1.97,3531.7
Block-422,10900.0,2.35,25595.5
Block-423,2400.0,-0.08,362.3
Block-424,900.0,2.74,2446.9
Block-425,5600.0,3.57,19340.1
Block-426,900.0,1.99,1817.1
Block-427,8000.0,0.65,10414.9
Block-428,900.0,1.69,1531.9
Block-429,6200.0,2.32,15195.0
Block-430,900.0,2.24,2029.6
Block-431,1800.0,1.69,3034.6
Block-432,1700.0,0.88,1481.5
Block-433,1200.0,1.22,1409.6
Block-434,2100.0,2.22,5247.1
Block-435,1200.0,2.11,2625.0
Block-436,5700.0,1.77,10376.4
Block-437,3000.0,1.87,6006.9
Block-438,900.0,1.16,1080.4
Block-439,900.0,1.54,1408.3
Block-440,102800.0,0.72,219401.5
Block-441,4600.0,5.41,24627.0
