Block,Area_m2,MeanDepth_m,Volume_m3
Block-645,900.0,5.47,4941.5
Block-646,1200.0,5.89,7073.7
Block-647,1200.0,4.88,5908.9
Block-648,1500.0,3.56,5579.3
Block-649,97900.0,19.84,1982900.6
Block-650,900.0,4.32,3950.8
Block-651,6500.0,2.87,19814.6
Block-652,1200.0,4.93,5978.9
Block-653,900.0,5.83,5211.3
Block-654,63300.0,12.24,781407.9
Block-655,900.0,2.62,2382.2
Block-656,3900.0,7.13,27088.2
Block-657,900.0,4.26,3833.2
Block-658,2100.0,5.17,11401.4
Block-659,1400.0,3.3,4613.1
Block-660,900.0,5.39,4834.9
Block-661,2900.0,8.77,23226.3
Block-662,1500.0,6.09,9064.5
Block-663,5900.0,-0.54,2856.5
Block-664,5400.0,6.57,36409.8
Block-665,9700.0,11.58,109795.9
Block-666,900.0,2.52,2316.5
Block-667,5100.0,7.59,36609.6
Block-668,2400.0,6.55,16414.2
Block-669,5800.0,6.95,42225.5
Block-670,4800.0,6.31,30175.1
Block-671,4800.0,8.02,37299.1
Block-672,44100.0,11.81,527375.9
Block-673,4341100.0,15.2,65843918.8
Block-674,8200.0,7.63,63205.7
Block-675,2500.0,5.98,15614.2
Block-676,900.0,5.09,4630.0
Block-677,7900.0,8.79,67668.3
Block-678,47200.0,9.19,425706.9
Block-679,5900.0,8.89,50223.2
Block-680,900.0,4.3,3764.6
Block-681,1200.0,2.65,3181.5
Block-682,5400.0,6.63,36218.3
Block-683,1200.0,4.29,5286.5
Block-684,4000.0,10.01,36281.7
Block-685,9200.0,-4.03,6564.5
Block-686,3800.0,4.22,16228.9
Block-687,2700.0,6.19,17365.5
Block-688,900.0,3.16,2802.1
Block-689,2200.0,3.75,8193.3
Block-690,14600.0,6.69,107788.9
Block-691,5600.0,9.82,50506.2
Block-692,1500.0,6.49,9927.9
Block-693,2300.0,6.59,15482.6
Block-694,19000.0,9.76,192093.4
Block-695,900.0,5.92,5287.5
Block-696,1200.0,4.91,5713.0
Block-697,1500.0,6.49,9721.4
Block-698,2100.0,3.17,6553.5
Block-699,2300.0,6.76,15189.2
Block-700,3100.0,3.84,12027.5
Block-701,2200.0,8.67,19119.9
Block-702,3600.0,5.24,18728.3
Block-703,900.0,3.5,3201.7
Block-704,900.0,4.42,3987.3
Block-705,900.0,4.21,3695.9
Block-706,900.0,7.69,6934.4
Block-707,6500.0,4.93,32024.7
Block-708,3400.0,5.39,17756.1
Block-709,5600.0,20.6,108909.6
Block-710,900.0,1.21,1131.1
Block-711,1200.0,3.98,4695.5
Block-712,2100.0,4.43,9607.1
Block-713,2800.0,3.95,11255.3
Block-714,1800.0,4.4,8365.6
Block-715,18900.0,16.71,311899.3
Block-716,900.0,3.51,3134.9
Block-717,9400.0,9.15,86242.6
Block-718,7200.0,8.31,60813.8
Block-719,2400.0,3.38,8218.3
Block-720,241900.0,17.74,4519674.6
Block-721,2500.0,4.97,11779.7
Block-722,2900.0,5.64,16459.2
Block-723,40700.0,14.98,616243.8
Block-724,1200.0,4.22,5014.9
Block-725,164100.0,40.81,6670643.0
Block-726,900.0,3.22,2940.1
Block-727,900.0,5.68,5046.3
Block-728,900.0,2.85,2517.5
Block-729,1700.0,7.1,11940.3
Block-730,900.0,4.3,3797.0
Block-731,2100.0,2.62,5469.8
Block-732,1500.0,5.55,8272.0
Block-733,16700.0,10.99,182218.9
Block-734,13300.0,8.92,122289.7
Block-735,900.0,3.83,3587.7
Block-736,900.0,5.68,5122.7
