Block,Area_m2,MeanDepth_m,Volume_m3
Block-504,18300.0,6.99,135413.5
Block-505,14300.0,7.07,100655.2
Block-506,1200.0,3.72,4361.8
Block-507,1400.0,4.95,6923.0
Block-508,11100.0,2.77,33375.3
Block-509,3200.0,5.87,19057.0
Block-510,2100.0,3.7,7274.7
Block-511,900.0,3.68,3249.9
Block-512,900.0,2.61,2298.8
Block-513,900.0,3.06,2636.5
Block-514,45700.0,9.12,439750.6
Block-515,15100.0,4.84,85611.0
Block-516,900.0,3.47,3045.5
Block-517,18000.0,11.51,211275.7
Block-518,1200.0,5.14,6105.5
Block-519,1200.0,3.16,3798.7
Block-520,1200.0,6.18,7356.7
Block-521,3800.0,5.89,21582.3
Block-522,26000.0,8.3,273368.1
Block-523,600.0,4.18,2520.7
Block-524,24200.0,15.48,369811.4
Block-525,1200.0,5.42,6495.6
Block-526,90200.0,11.79,1014073.1
Block-527,4400.0,3.4,15721.7
Block-528,15800.0,5.76,92931.9
Block-529,900.0,2.62,2253.3
Block-530,5500.0,15.04,79447.5
Block-531,3000.0,5.92,17540.9
Block-532,4900.0,8.63,39931.5
Block-533,14000.0,7.77,108847.1
Block-534,900.0,3.41,2993.2
Block-535,1500.0,2.77,4278.9
Block-536,1200.0,5.33,6560.1
Block-537,7800.0,6.08,47109.0
Block-538,12300.0,7.44,88421.0
Block-539,900.0,3.18,2765.6
Block-540,2200.0,3.23,7129.2
Block-541,1500.0,4.58,7005.8
Block-542,7200.0,12.47,86792.2
Block-543,4200.0,3.85,15913.0
Block-544,11600.0,5.29,61861.0
Block-545,13300.0,7.71,106779.0
Block-546,2400.0,3.97,9235.0
Block-547,900.0,3.37,2988.5
Block-548,9500.0,8.72,82140.1
Block-549,22300.0,7.69,174029.3
Block-550,900.0,2.44,2153.3
Block-551,2300.0,4.4,10272.5
Block-552,2400.0,5.95,14215.2
Block-553,900.0,3.44,3056.4
Block-554,2500.0,3.4,8461.7
Block-555,2200.0,2.83,6350.5
Block-556,102800.0,10.57,1053933.3
Block-557,1200.0,4.16,4878.9
Block-558,900.0,4.26,3749.7
Block-559,4700.0,5.26,23836.6
Block-560,13100.0,9.95,137799.1
Block-561,6900.0,6.45,44906.7
Block-562,36000.0,5.28,206054.5
Block-563,6600.0,4.83,31114.7
Block-564,13000.0,6.43,83929.6
Block-565,15800.0,9.94,153959.8
Block-566,900.0,5.69,5027.0
Block-567,4900.0,4.76,23374.1
Block-568,900.0,1.41,1226.2
Block-569,17400.0,8.66,150637.4
Block-570,32500.0,8.8,287636.8
Block-571,329400.0,22.18,7150994.5
Block-572,4700.0,4.26,19407.1
Block-573,6200.0,6.42,40062.8
Block-574,5700.0,7.0,38495.1
Block-575,900.0,3.78,3294.5
Block-576,3600.0,5.49,19747.7
Block-577,10600.0,10.23,107133.5
Block-578,3900.0,6.44,24987.5
Block-579,4000.0,4.42,18098.5
Block-580,6200.0,5.56,32806.2
Block-581,2100.0,3.67,7488.0
Block-582,40500.0,7.58,314336.9
Block-583,6900.0,5.44,37033.0
Block-584,166300.0,19.48,3237808.8
Block-585,900.0,4.31,3810.7
Block-586,2600.0,3.34,8508.2
Block-587,4600.0,3.82,17235.5
Block-588,13400.0,4.33,57706.8
Block-589,7200.0,4.61,34069.4
Block-590,2600.0,3.27,8973.8
Block-591,5500.0,7.76,40808.4
Block-592,6200.0,5.92,35436.9
Block-593,3400.0,3.03,10234.1
Block-594,53400.0,10.42,555571.4
Block-595,101300.0,10.61,1096462.8
Block-596,71700.0,15.57,1129039.6
Block-597,10000.0,3.43,36088.8
Block-598,5900.0,3.97,23557.6
Block-599,2300.0,2.85,6594.1
Block-600,5500.0,5.42,29262.0
Block-601,6400.0,6.26,38423.5
Block-602,13600.0,10.0,130553.8
Block-603,5200.0,6.25,30897.6
Block-604,900.0,3.75,3264.2
Block-605,900.0,5.07,4644.4
Block-606,2300.0,4.62,10545.2
Block-607,2300.0,4.71,11212.1
Block-608,1500.0,5.29,7831.2
Block-609,9100.0,11.57,100397.9
Block-610,3800.0,5.86,21138.6
Block-611,6300.0,4.73,29726.3
Block-612,5900.0,6.51,37015.3
Block-613,1500.0,2.65,3892.5
Block-614,2600.0,4.6,11877.5
Block-615,13800.0,8.78,122075.2
Block-616,900.0,4.96,4413.5
Block-617,2400.0,4.1,9542.0
Block-618,4500.0,7.34,30542.4
Block-619,3900.0,7.41,29162.1
Block-620,59100.0,21.9,1226588.5
Block-621,2300.0,5.52,12518.3
